"Pattern","Blue","Red","Yellow","Black","White","Orange","Pink","Green","Brown"
"XONNXOXNO","0"," 0"," 1"," 1"," 0"," 0"," 0"," 1"," 0"
"NNNXONNOX","2"," 2"," 2"," 0"," 0"," 2"," 2"," 0"," 0"
"XONOOXNNX","0"," 0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"
"XXNXNONOO","0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"
"XNXONXONO","0"," 1"," 0"," 0"," 1"," 0"," 0"," 1"," 0"
"XNOXNNOOX","0"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 0"
"XOXNONXNO","0"," 0"," 0"," 1"," 0"," 1"," 0"," 1"," 0"
"XXNNNNOON","0"," 0"," 2"," 2"," 2"," 2"," 0"," 0"," 2"
"XNNNOXNNO","0"," 33"," 18"," 2"," 0"," 0"," 20"," 14"," 0"
"NNOOXNOXX","1"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
"NNOOXXNXO","2"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"
"OXOONNXXN","0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"
"NXONNONNX","2"," 0"," 0"," 2"," 2"," 0"," 2"," 2"," 0"
"XNNNONONX","0"," 0"," 2"," 0"," 0"," 2"," 0"," 2"," 0"
"OXNNXNXOO","0"," 0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"
"OXNNOXOXN","0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"
"NOXNONNXN","2"," 0"," 0"," 2"," 0"," 3"," 2"," 0"," 2"
"NNNONXNNN","5"," 4"," 0"," 0"," 4"," 0"," 0"," 0"," 4"
"ONNXXNOXO","0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"NOXXNNXOO","1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"
"XNOOONNXX","0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"
"NXXOXONON","1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
